Image,Category,X_Original,Y_Original,Radius_Original,Diameter_Original
moon_images/NAC_DTM_NASSAU03_M1500683555_4M.TIF,Small,2264.4,10206.8,482.32,964.64
moon_images/NAC_DTM_NASSAU03_M1500683555_4M.TIF,Small,2876.4,10750.8,587.04,1174.08
moon_images/NAC_DTM_NASSAU03_M1500683555_4M.TIF,Small,2985.2,9010,407.52,815.04
moon_images/NAC_DTM_NASSAU03_M1500683555_4M.TIF,Small,2822,3814.8,392.56,785.12
moon_images/NAC_DTM_NASSAU03_M1500697577_4M.TIF,Small,2359.6,9934.8,482.32,964.64
moon_images/NAC_DTM_NASSAU03_M1500697577_4M.TIF,Small,2835.6,10710,631.92,1263.84
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,3243.6,1475.6,631.92,1263.84
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,2196.4,1584.4,542.16,1084.32
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,972.4,5460.4,616.96,1233.92
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,3053.2,2332.4,512.24,1024.48
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,2006,5827.6,391.2,782.4
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,2087.6,782,241.6,483.2
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Small,1203.6,4222.8,497.28,994.56
moon_images/NAC_DTM_NOBILE03_M1101118606_90CM.TIF,Medium,2922,1794,916,1832
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,3774,3202.8,572.08,1144.16
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,3243.6,2577.2,332.72,665.44
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,2686,5310.8,400.72,801.44
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,2862.8,6181.2,301.44,602.88
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,496.4,673.2,466,932
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,1122,1462,362.64,725.28
moon_images/NAC_IFPASP_24118N065624_1_SHADE.TIF,Small,4290.8,4862,466,932
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,7772.4,21386,602,1204
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,8778.8,20189.2,512.24,1024.48
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,7296.4,22242.8,497.28,994.56
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,10138.8,25561.2,602,1204
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,8058,20570,407.52,815.04
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,10927.6,24894.8,482.32,964.64
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,9350,25398,527.2,1054.4
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,7432.4,23276.4,482.32,964.64
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,8234.8,25112.4,361.28,722.56
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,7609.2,24160.4,332.72,665.44
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,9962,19713.2,452.4,904.8
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,11675.6,25330,347.68,695.36
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Small,8887.6,21154.8,302.8,605.6
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Medium,8238,21366,982,1964
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Large,10590,22374,1322.4,2644.8
moon_images/NAC_ROI_AUSTRALELOC_E398S1096.TIF,Extra-Large,10362,22734,3322,6644
moon_images/NAC_ROI_AUSTRALELOC_E398S1096_20M.TIF,Small,809.2,1815.6,267.44,534.88
moon_images/NAC_ROI_AUSTRALELOC_E398S1096_20M.TIF,Small,1040.4,496.4,452.4,904.8
moon_images/NAC_ROI_AUSTRALELOC_E398S1096_5M.TIF,Small,2672.4,6956.4,346.32,692.64
moon_images/NAC_ROI_AUSTRALELOC_E398S1096_5M.TIF,Medium,3330,7314,1061.2,2122.4
moon_images/NAC_ROI_CABEUSPKLO1_P836S2912_5M.TIF,Small,2060.4,1489.2,495.92,991.84
moon_images/NAC_ROI_CABEUSPKLO1_P836S2912_5M.TIF,Small,741.2,931.6,422.48,844.96
moon_images/NAC_ROI_CABEUSPKLO1_P836S2912_5M.TIF,Small,2618,3529.2,301.44,602.88
moon_images/NAC_ROI_CABEUSPKLO1_P836S2912_5M.TIF,Small,3175.6,1720.4,283.76,567.52
moon_images/NAC_ROI_CABEUSPKLOA_P836S2912_5M.TIF,Small,2087.6,1434.8,422.48,844.96
moon_images/NAC_ROI_CRSEIMMKLOB_E203N0688_20M.TIF,Small,605.2,1570.8,527.2,1054.4
moon_images/NAC_ROI_CRSEIMMKLOB_E203N0688_20M.TIF,Small,523.6,428.4,406.16,812.32
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_20M.TIF,Small,673.2,1067.6,631.92,1263.84
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_20M.TIF,Small,659.6,1938,587.04,1174.08
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_20M.TIF,Small,346.8,333.2,302.8,605.6
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,2645.2,1965.2,631.92,1263.84
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,3338.8,8166.8,587.04,1174.08
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,2944.4,6398.8,631.92,1263.84
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,2699.6,3121.2,631.92,1263.84
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,3175.6,9486,572.08,1144.16
moon_images/NAC_ROI_FIRSOV__LOA_E044N1148_5M.TIF,Small,2128.4,4086.8,587.04,1174.08
